Title,Count
Werkzeug httpd,178
bftpd,176
ASUS Wireless Router RT-AX92U,174
ASUS Wireless Router RT-AX86S,171
ASUS Wireless Router ZenWiFi AX Mini,171
Steam Dedicated Server,170
FPBX-13.0.194.11(13.20.0),168
ESET NOD32 anti-virus smtp proxy,167
iperf3,165
Dahua DHI-NVR4216-16P-4KS2,161
Zeus httpd,161
ASUS Wireless Router RT-AC87U,160
MS-SQL Server 2019 GDR1+,160
iBoss Cloud,160
Famatech Radmin,159
Check Point SVN foundation httpd,158
Microsoft RPC,157
DD-WRT milli_httpd,155
Abyss httpd,152
Asterisk,152
Echo,152
Niagara Fox,151
ASUS Wireless Router GT-AC5300,149
Elastic,149
MS-SQL Server 2017 RTM,148
"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",143
Ventrilo,143
smbx,136
Dahua DHI-NVR4116-8P-4KS2,134
LANCOM Server,134
Sonos CONNECT:AMP,134
WatchGuard Technologies Inc.,131
"U.C. Davis, ECE Dept. Tom",130
ASUS Wireless Router GT-AX6000,129
QNAP TS-231P TS-231P,129
Dahua NVR-P,126
Debut embedded httpd,126
Alt-N MDaemon mail server,122
Virata-EmWeb,122
DrayTek Vigor2120 Series,121
Ethereum Discovery Protocol,120
Tridium Niagara httpd,120
"D-Link System, Inc. VoIP Router DVG-N5412SP",119
WeOnlyDo sshd,119
ASUS Wireless Router ZenWiFi AC,118
FreeBSD ftpd,118
MS-SQL Server 2017 RTM+,118
QNAP TS-231P,117
Dahua-based DHI-NVR4108HS-8P-4KS2/L,116
Netwave IP camera http config,116
rblsmtpd wrapped smtpd,114
DrayTek Vigor2135 Series,110
Dahua DHI-NVR4104HS-P-4KS2/L,108
Typesense,108
DrayTek Corporation,106
NoMachine NX Server remote desktop,106
Zscaler,106
jingl.com.au,106
MS-SQL Server 2017 CU23,105
SCS sshd,105
Kerio Connect webmail httpd,104
Socks4A,104
Tinyproxy,104
MS-SQL Server 2014 RTM,101
Dahua DHI-NVR4108-8P-4KS2,100
MS-SQL Server 2019 CU15+,100
D-Link DCS-942L,99
Mono-HTTPAPI,99
Sandpiper Footprint http load balancer,97
TwistedWeb httpd,95
Tuya,93
DrayTek Vigor3910 Series,91
MS-SQL Server 2019 CU8,91
SMC SMC2870W Wireless Ethernet Bridge,90
Avtech AVN801 network camera,88
OpenSMTPD,88
openHAB,88
NEC SL2100/2.1,86
Ralink router 1,85
WEBrick httpd,84
Allegro RomPager,83
ASUS Wireless Router GT-AC2900,82
IMail NT-ESMTP,81
Cisco router tftpd,80
GeoVision GeoHttpServer for webcams,79
DrayTek Vigor 2820 ADSL router ftpd,78
TightVNC Java Viewer,78
QNAP TS-431P,77
Mobotix Camera http config,76
ASUS Wireless Router RT-AC58U,75
Axigen smtpd,75
MS-SQL Server 2000 SP1+,74
ASUS Wireless Router,73
Barracuda Networks Spam Firewall smtpd,73
Mathopd httpd,73
Pulse Secure,73
ASUS Wireless Router RT-AX53U,72
MikroTik http proxy,72
GNU Zebra routing software,71
Dahua DHI-NVR4208-8P-4KS2/L,70
MS-SQL Server 2012 RTM,69
MDaemon pop3d,68
PS3 Media Server UPnP,68
QNAP TS-431P TS-431P,68
Cerberus FTP Server,67
Talk Talk YouView set-top box http config,67
ASUS Wireless Router RT-AC3200,66
ASUS Wireless Router RT-AC66U B1,66
Dahua DHI-NVR421,65
Dahua DHI-NVR5208-8P-4KS2,65
Aruba Instant,64
Synology DiskStation NAS ftpd,64
Dahua DHI-NVR410,63
Kafka,63
Dahua NVR4X-4KS2,62
Oracle WebLogic Server,62
Rockwell Automation/Allen-Bradley,62
Indy httpd,61
Rhinosoft Serv-U httpd,61
CJServer,60
Dahua DHI-NVR4216-16P-4KS2/L,60
Dahua DHI-NVR5216-16P-4KS2,60
Grafana (Enterprise),60
iPlanet web proxy,59
"Brocade Communications Systems, Inc.",58
Cisco catalyst switch telnetd,58
MS-SQL Server 2014 SP3+,58
