Title,Count
Ralink Linux UPnP IGD Project IGD Version 1.00 RT2880 C,247
ZTE H181A,247
Connectra Check Point Web Security httpd,243
Hewlett-Packard,243
ASUS Wireless Router RT-AC1200HP,242
Panasonic BB-ST165 webcam http config,240
Panasonic BB-ST162 webcam http config,237
Realtek Semiconductor Corp. RTL8xxx EV-2006-07-27,237
Contiki httpd,236
Dahua-based DVR,235
Microsoft IIS,232
"NetScreen Technologies, Inc.",226
Dovecot imapd,223
Panasonic WV-SFN110 webcam http config,223
Mongrel httpd,220
ASUS Wireless Router ZenWiFi AC,218
ASUS Wireless Router GT-AC5300,215
Dahua-based XDR0412,212
ASUS Wireless Router RT-AC87U,202
Sophos User Portal,198
Dahua-based XVR,197
tnftpd,197
Panasonic BB-SC364 webcam http config,196
Cyrus pop3d,190
Post.Office,188
"D-Link Systems, Inc.",183
GNU Inetutils FTPd,182
"Allied Telesis, Inc.",177
3CX Phone System Management Console,176
Netwave IP camera http config,173
Cisco router tftpd,164
LG webOS TV,162
MS-SQL Server 2014 RTM,160
HP iLO,159
Mono-HTTPAPI,158
MS-SQL Server 2017 RTM+,157
MS-SQL Server 2019 CU15+,155
PS3 Media Server UPnP,153
Home Assistant,151
Ganglia XML Grid monitor,150
iPlanet web proxy,149
Sandpiper Footprint http load balancer,148
Zope httpd,146
IBM HTTP Server,145
ASUS Wireless Router RT-AX86S,144
Kangle Web Server,144
"Ruijie Networks Co., Ltd. (formerly 'Start Network Technology Co., Ltd.')",144
WildFly,144
openHAB,144
Linksys wireless-G WAP http config,143
ASUS Wireless Router RT-AX89X,142
Sophos SSL VPN User Portal,141
WeOnlyDo sshd,139
WebRTC,138
"Fortinet, Inc.",137
RealVNC,137
PRAVIS,135
SCS sshd,134
Asterisk,133
Panasonic BB-SC382 webcam http config,133
Aruba Networks Inc,131
Panasonic BB-SW175 webcam http config,131
RealPort,126
CCProxy smtp proxy,125
Fujitsu IPCOM,124
QNAP TS-220 TS-220,123
Fujitsu Limited,122
QNAP VS-2204 Pro+ VS-2204 Pro+,121
Dahua DH-XVR5104H-X-4P,120
Furukawa Electoric Co. Ltd.,120
Lego Server,120
Panasonic BB-SW172 webcam http config,119
Kafka,116
MS-SQL Server 2000 SP1+,115
SunSSH,115
Aruba Instant,114
WSGIServer,114
MS-SQL Server 2012 RTM,113
Grafana (Enterprise),112
Mini web server 1.0 ZTE corp 2005,112
Netscape Enterprise httpd,111
WSR-1166DHPL2,111
ChipPC Extreme httpd,104
Geth,104
Oracle Application Server 10g httpd,104
RealVNC Personal,104
Thin,103
Android Debug Bridge,102
Pocket CMD telnetd,97
MS-SQL Server 2014 SP2,96
QNAP TS-469 Pro TS-469 Pro,96
QNAP VS-2208 Pro+ VS-2208 Pro+,96
Android Debug Bridge (ADB),95
IP Camera,95
"Brocade Communications Systems, Inc.",94
3S-Smart Software Solutions,93
CherryPy httpd,93
CommuniGate Pro httpd,93
